,neighbourhood,lat,lon
0,Arbutus Ridge,49.253555,-123.16044299999999
2,Bruke Mountain,49.29779,-122.749265
3,Burnaby,49.246465,-122.963149
5,Central City,49.160465,-122.81836499999999
6,Central Vancouver,49.289212,-123.120005
7,Chinatown,49.280328000000004,-123.10598200000001
8,Coal Harbour ,49.289691,-123.12465700000001
9,Commercial Drive,49.283701,-123.070378
10,District of North Vancouver,49.359613,-123.010074
11,Downtown Eastside,49.284731,-123.091182
13,Downtown Vancouver,49.279648,-123.117522
14,Dunbar-Southlands,49.249922999999995,-123.18523400000001
15,East Vancouver,49.250694,-123.06865
17,Fairview,49.264745,-123.130698
19,Gastown,49.283132,-123.105929
20,Grandview-woodland,49.275257,-123.067508
21,Hastings-Sunrise,49.27758,-123.04081599999999
23,Kensington_Cedar Cottage,49.246544,-123.07306899999999
