,neighbourhood,lat,lon
0,Arbutus Ridge,49.253555,-123.160443
1,Downtown,49.278945,-123.117791
2,Downtown Eastside,49.284731,-123.091182
3,Dunbar-Southlands,49.249923,-123.185234
4,Fairview,49.264745,-123.130698
5,Grandview-Woodland,49.275257,-123.067508
6,Hastings-Sunrise,49.27758,-123.040816
7,Kensington-Cedar Cottage,49.246544,-123.073069
8,Kerrisdale,49.233825,-123.15552
9,Killarney,49.219955,-123.036685
10,Kitsilano,49.265807,-123.163566
11,Marpole,49.209861,-123.128646
12,Mount Pleasant,49.263056,-123.097317
13,Oakridge,49.225976,-123.122244
14,Renfrew-Collingwood,49.248025,-123.041014
15,Riley Park,49.244942,-123.101913
16,Shaughnessy,49.244968,-123.141468
17,South Cambie,49.245831,-123.121409
18,Strathcona,49.272644,-123.088743
19,Sunset,49.216945,-123.090595
20,Victoria-Fraserview,49.219545,-123.063478
21,West End,49.285283,-123.133585
22,West Point Grey,49.267385,-123.200663
