id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10080,D1 -  Million Dollar View 2 BR,30899,Rami,,Downtown,49.28872,-123.12046,Entire home/apt,158,90,16,2015-09-06,0.26,40,0,0,18-476608
13188,Garden level studio in ideal loc.,51466,Family Guns,,Riley Park,49.24773,-123.10509,Entire home/apt,150,2,250,2021-10-17,2.23,1,172,3,20-160253
13358,Monthly (or Longer ) Designer One Bedroom Downtown,52116,Lynn,,West End,49.28201,-123.12669,Entire home/apt,85,30,430,2019-08-04,4.18,1,21,1,18-611603
13490,Vancouver's best kept secret,52467,Iris,,Kensington-Cedar Cottage,49.25622,-123.06607,Entire home/apt,149,30,91,2020-10-31,3.48,1,218,3,
14267,EcoLoft Vancouver,56030,Peter & Alison,,Kensington-Cedar Cottage,49.24922,-123.08139,Entire home/apt,150,3,34,2017-07-28,0.55,1,124,1,21-156500
16254,Close to PNE/Hastings Park Garden level suite,63238,Jason,,Hastings-Sunrise,49.27721,-123.04086,Entire home/apt,350,3,5,2018-08-26,0.13,1,336,0,19-162421
16611,"1 block to skytrain station, shops,restaurant,bank",58512,Q,,Grandview-Woodland,49.26339,-123.07145,Entire home/apt,100,30,3,2018-02-16,0.06,5,90,0,
17765,"Central location, nice little apartment",68672,James,,Mount Pleasant,49.26132,-123.10845,Entire home/apt,94,5,203,2021-10-01,3.26,1,0,9,21-156705
18270,private rm in clean central 2BR apt,70437,Ran,,Mount Pleasant,49.26557,-123.096,Private room,50,30,118,2016-08-05,1.43,1,307,0,
18589,Commercial Drive B&B,71508,Sylvain & Alexis,,Grandview-Woodland,49.27569,-123.07057,Private room,85,1,394,2021-10-25,3.95,1,97,5,21-156397
18773,"Comfort Suite on Kits Beach + Netflix, and Youtube",72055,Dean,,Kitsilano,49.2733,-123.16457,Entire home/apt,240,2,16,2021-07-26,0.42,1,90,2,19-282973
18795,*Best choice in downtown-5 Stars * -2,70137,Kai,,West End,49.28299,-123.13008,Private room,65,30,122,2019-09-25,1.07,3,298,1,18-573700
19001,Vancouver Downtown Studio Apartment,72649,Melanie,,Downtown,49.2766,-123.12935,Entire home/apt,102,5,140,2018-10-16,1.32,1,60,1,18-597543
19527,Spacious Apartment near Granville Island and VGH,74129,Bevin,,Fairview,49.26018,-123.13477,Entire home/apt,126,14,46,2021-09-04,0.32,1,59,9,20-161658
19621,Beautiful 2 Br 2 Bath + Den Yaletown Seawall,74380,Shirin,,Downtown,49.27323,-123.12032,Entire home/apt,190,30,0,,,1,233,0,
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,,Kensington-Cedar Cottage,49.25636,-123.08636,Entire home/apt,69,30,74,2015-08-23,1.42,1,96,2,Exempt
21912,PRIVATE ROOM + BATH + KING BED + SEPARATE ENTRY,83871,Adam,,Renfrew-Collingwood,49.23361,-123.05283,Private room,75,1,341,2021-04-30,2.94,3,311,13,21 157106 SA
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Adam,,Renfrew-Collingwood,49.23442,-123.05307,Entire home/apt,90,30,218,2021-06-09,1.94,3,300,5,21 157106 SA
24273,Walker's paradise in Kitsilano,1267409,Cormac,,Kitsilano,49.26216,-123.1715,Entire home/apt,250,30,16,2021-03-01,0.16,2,119,1,20-175617
26047,The Alpha Downtown Accommodation by COMFYSUITES,109845,Alicia,,Downtown,49.28086,-123.12375,Entire home/apt,159,30,35,2018-10-01,0.28,4,258,1,
32746,Designer Urban Park View Townhouse,52118,Liliana,,Downtown,49.2792,-123.105,Entire home/apt,100,30,83,2017-06-17,1.26,2,363,3,
33150,“Suite on Main”  near  Q.E Park,143724,Ili,,Riley Park,49.24677,-123.1048,Entire home/apt,110,4,69,2021-10-16,0.90,1,264,19,21-157621
35304,"Private Quiet Studio in the HEART of ""The Drive""",151996,Howie And Lisa,,Grandview-Woodland,49.2729,-123.06973,Entire home/apt,89,2,444,2021-08-05,4.39,1,302,29,21-156315
42645,The Charlie by COMFYSUITES,109845,Alicia,,Downtown,49.28036,-123.1234,Entire home/apt,159,30,31,2018-08-07,0.48,4,282,3,
48146,Executive Furnished Apartment (2 months minimum),219431,Damien,,Renfrew-Collingwood,49.23653,-123.02664,Entire home/apt,100,60,0,,,2,189,0,
49736,Boutique Studio Apartment in Kits!,227101,Sarah,,Kitsilano,49.26778,-123.14674,Entire home/apt,1950,31,9,2015-01-05,0.08,1,0,0,
54261,Yaletown 1 Bedroom Condo,254337,Edgar,,Downtown,49.27462,-123.12426,Entire home/apt,119,90,37,2013-06-20,1.30,2,365,0,
70453,"Open-concept, Modern Heritage Home with over 20 Skylights",56709,Samantha Jo,,Downtown Eastside,49.27836,-123.08716,Entire home/apt,303,5,24,2021-08-29,0.59,1,0,2,19-162091
72659,Central Convenient Vibrant Neighbourhood!,375168,Donna,,Grandview-Woodland,49.27345,-123.07031,Entire home/apt,210,7,12,2018-05-23,0.11,1,309,0,21-157075
73841,Amazing Downtown Vancouver Condo!,386761,Ying Ying,,Downtown,49.27591,-123.12359,Entire home/apt,121,30,16,2017-02-02,0.22,1,190,3,
77157,Room with a Garden View!,412802,Anne,,Arbutus Ridge,49.2452,-123.16544,Entire home/apt,125,2,662,2021-10-12,6.20,2,302,25,21-156994
98830,Your Downtown Executive Suite,520997,Cristina,,Downtown,49.27936,-123.12443,Entire home/apt,110,30,267,2019-11-20,2.36,1,32,0,18-550967
