neighbourhood,Lat,Lon,,
Arbutus Ridge,49.253555,-123.160443,,
Bruke Mountain,49.29779,-122.749265,,
Burnaby,49.246465,-122.963149,,
Central CIty,49.160465,-122.818365,,
Central Vancouver,49.289212,-123.120005,,
Chinatown,49.280328,-123.105982,,
Coal Harbour ,49.289691,-123.124657,,
Commercial Drive,49.283701,-123.070378,,
District of North Vancouver,49.359613,-123.010074,,
Downtown,49.279648,-123.117522,Downtown Vancouver,
Downtown Eastside,49.284731,-123.091182,,
Downtown Vancouver,49.279648,-123.117522,,
Dunbar-Southlands,49.249923,-123.185234,,
Fairview,49.264745,-123.130698,,
East Vancouver,49.250694,-123.06865,,
Gastown,49.283132,-123.105929,,
Grandview-woodland,49.275257,-123.067508,,
Hastings-Sunrise,49.27758,-123.040816,,
Kerrisdale,49.233825,-123.15552,,
Killarney,49.219955,-123.036685,,
Kitsilano,49.265807, -123.163566,,
Kensington_Cedar Cottage,49.246544,-123.073069,,
Marpole,49.209861,-123.128646,,
Mount Pleasant,49.263056,-123.097317,,
Oakridge,49.225976,-123.122244,,
Renfrew-Collingwood,49.248025,-123.041014,,
Riley Park,49.244942,-123.101913,,
Shaughnessy,49.244968,-123.141468,,
South Cambie,49.245831,-123.121409,,
Strathcona,49.272644,-123.088743,,
Sunset,49.216945,-123.090595,,
Victoria-Fraserview,49.219545,-123.063478,,
West end,49.285283,-123.133585,,
West point Grey,49.267385,-123.200663,,
