,name,neighbourhood_cleansed,latitude,longitude,listing_url,number_of_reviews_ltm,review_scores_rating
0,D1 -  Million Dollar View 2 BR,Downtown,49.28872,-123.12046,https://www.airbnb.com/rooms/10080,0,4.64
1,Garden level studio in ideal loc.,Riley Park,49.24773,-123.10509,https://www.airbnb.com/rooms/13188,3,4.83
2,Monthly (or Longer ) Designer One Bedroom Downtown,West End,49.28201,-123.12669,https://www.airbnb.com/rooms/13358,1,4.67
3,Vancouver's best kept secret,Kensington-Cedar Cottage,49.25622,-123.06607,https://www.airbnb.com/rooms/13490,3,4.92
4,EcoLoft Vancouver,Kensington-Cedar Cottage,49.24922,-123.08139,https://www.airbnb.com/rooms/14267,1,4.76
5,Close to PNE/Hastings Park Garden level suite,Hastings-Sunrise,49.27721,-123.04086,https://www.airbnb.com/rooms/16254,0,4.8
6,"1 block to skytrain station, shops,restaurant,bank",Grandview-Woodland,49.26339,-123.07145,https://www.airbnb.com/rooms/16611,0,4.0
7,"Central location, nice little apartment",Mount Pleasant,49.26132,-123.10845,https://www.airbnb.com/rooms/17765,9,4.6
8,private rm in clean central 2BR apt,Mount Pleasant,49.26557,-123.096,https://www.airbnb.com/rooms/18270,0,4.54
9,Commercial Drive B&B,Grandview-Woodland,49.27569,-123.07057,https://www.airbnb.com/rooms/18589,5,4.98
10,"Comfort Suite on Kits Beach + Netflix, and Youtube",Kitsilano,49.2733,-123.16457,https://www.airbnb.com/rooms/18773,2,4.07
11,*Best choice in downtown-5 Stars * -2,West End,49.28299,-123.13008,https://www.airbnb.com/rooms/18795,1,4.55
12,Vancouver Downtown Studio Apartment,Downtown,49.2766,-123.12935,https://www.airbnb.com/rooms/19001,1,4.67
13,Spacious Apartment near Granville Island and VGH,Fairview,49.26018,-123.13477,https://www.airbnb.com/rooms/19527,9,4.69
14,Beautiful 2 Br 2 Bath + Den Yaletown Seawall,Downtown,49.27323,-123.12032,https://www.airbnb.com/rooms/19621,0,
15,Bright & Cheerful Uptown Garden Suite,Kensington-Cedar Cottage,49.25636,-123.08636,https://www.airbnb.com/rooms/20085,2,4.82
16,PRIVATE ROOM + BATH + KING BED + SEPARATE ENTRY,Renfrew-Collingwood,49.23361,-123.05283,https://www.airbnb.com/rooms/21912,13,4.68
17,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),Renfrew-Collingwood,49.23442,-123.05307,https://www.airbnb.com/rooms/21913,5,4.74
18,Walker's paradise in Kitsilano,Kitsilano,49.26216,-123.1715,https://www.airbnb.com/rooms/24273,1,5.0
19,The Alpha Downtown Accommodation by COMFYSUITES,Downtown,49.28086,-123.12375,https://www.airbnb.com/rooms/26047,1,4.74
20,Designer Urban Park View Townhouse,Downtown,49.2792,-123.105,https://www.airbnb.com/rooms/32746,3,4.33
21,“Suite on Main”  near  Q.E Park,Riley Park,49.24677,-123.1048,https://www.airbnb.com/rooms/33150,19,4.97
22,"Private Quiet Studio in the HEART of ""The Drive""",Grandview-Woodland,49.2729,-123.06973,https://www.airbnb.com/rooms/35304,29,4.71
23,The Charlie by COMFYSUITES,Downtown,49.28036,-123.1234,https://www.airbnb.com/rooms/42645,3,4.77
24,Executive Furnished Apartment (2 months minimum),Renfrew-Collingwood,49.23653,-123.02664,https://www.airbnb.com/rooms/48146,0,
25,Boutique Studio Apartment in Kits!,Kitsilano,49.26778,-123.14674,https://www.airbnb.com/rooms/49736,0,4.89
26,Yaletown 1 Bedroom Condo,Downtown,49.27462,-123.12426,https://www.airbnb.com/rooms/54261,0,4.85
27,"Open-concept, Modern Heritage Home with over 20 Skylights",Downtown Eastside,49.27836,-123.08716,https://www.airbnb.com/rooms/70453,2,4.92
28,Central Convenient Vibrant Neighbourhood!,Grandview-Woodland,49.27345,-123.07031,https://www.airbnb.com/rooms/72659,0,4.91
29,Amazing Downtown Vancouver Condo!,Downtown,49.27591,-123.12359,https://www.airbnb.com/rooms/73841,3,4.73
30,Room with a Garden View!,Arbutus Ridge,49.2452,-123.16544,https://www.airbnb.com/rooms/77157,25,4.82
31,Your Downtown Executive Suite,Downtown,49.27936,-123.12443,https://www.airbnb.com/rooms/98830,0,4.88
32,"Clean and Comfy, 2 Bd, Walk to the Drive",Grandview-Woodland,49.26758,-123.06016,https://www.airbnb.com/rooms/111077,11,4.7
33,Main Street Vineyard,Riley Park,49.24615,-123.09462,https://www.airbnb.com/rooms/125176,27,4.7
34,"Rock Rose - Clean, Cozy, Comfy, Steps2-Skytrain.",Renfrew-Collingwood,49.24401,-123.04772,https://www.airbnb.com/rooms/129163,1,4.51
35,"West view, Transit convenient, clean & comfortable",Renfrew-Collingwood,49.24356,-123.04757,https://www.airbnb.com/rooms/134688,1,4.56
36,"1905 Heritage Loft, Main/Broadway, Olympic Village",Mount Pleasant,49.26382,-123.10484,https://www.airbnb.com/rooms/140698,12,4.82
37,Family friendly Point Grey Home,Dunbar Southlands,49.25757,-123.18966,https://www.airbnb.com/rooms/170137,17,4.85
38,Charming and Homely Downtown Penthouse,Downtown,49.28034,-123.12648,https://www.airbnb.com/rooms/172827,0,4.86
39,VANCOUVER'S BEST PRIVATE SUITE/LOFT,Downtown Eastside,49.27857,-123.0899,https://www.airbnb.com/rooms/174135,0,4.8
40,KITS SUPER CENTRAL DELIGHTFULL APT!,Kitsilano,49.25808,-123.16824,https://www.airbnb.com/rooms/182451,1,4.88
41,A Real Gem in the Heart of Kits,Kitsilano,49.2719,-123.15043,https://www.airbnb.com/rooms/219261,11,4.59
42,West End Retreat - Private Room/Bath,West End,49.28993,-123.13879,https://www.airbnb.com/rooms/236297,4,4.91
43,"Stunning views, comfort, location!!",Grandview-Woodland,49.29103,-123.05782,https://www.airbnb.com/rooms/248014,0,5.0
44,Heritage Loft in heart of Gastown,Downtown Eastside,49.28375,-123.10383,https://www.airbnb.com/rooms/254657,6,4.9
45,Luxury Coach House in Kitsilano,Kitsilano,49.26293,-123.17143,https://www.airbnb.com/rooms/256178,9,5.0
46,FABULOUS Luxury Downtown Vancouver!,Downtown,49.27839,-123.12852,https://www.airbnb.com/rooms/258636,1,4.79
47,D27 - 3 Bedroom in Coal Harbour,Downtown,49.28906,-123.12505,https://www.airbnb.com/rooms/283841,0,5.0
48,Sunset views - LGBTQ2+ friendly,Renfrew-Collingwood,49.23273,-123.02747,https://www.airbnb.com/rooms/306178,0,4.97
49,Close to downtown/shops/restaurants/skytrain,Grandview-Woodland,49.26328,-123.07086,https://www.airbnb.com/rooms/311354,0,4.0
50,Modern Yaletown 1BR | GREAT VIEW + CENTRAL,Downtown,49.27608,-123.12452,https://www.airbnb.com/rooms/322824,2,4.89
51,Beautiful fully furnished suite,Downtown,49.28244,-123.12293,https://www.airbnb.com/rooms/323090,0,4.76
52,Stylish Modern Central Downtown★★★★★★★,Downtown,49.27634,-123.11825,https://www.airbnb.com/rooms/359942,0,4.85
53,Bright Spacious Bedroom Pvt Bath,Grandview-Woodland,49.27799,-123.07101,https://www.airbnb.com/rooms/377706,0,4.68
54,"LARGE PRIVATE ROOM+ BATH, SEPARATE ENTRY, KING BED",Renfrew-Collingwood,49.2332,-123.0551,https://www.airbnb.com/rooms/415700,9,4.7
55,Trendy & Spacious 2 bd Gastown Loft,Downtown Eastside,49.28211,-123.10453,https://www.airbnb.com/rooms/436032,18,4.84
56,UNIQUE 4 Bedroom Character House near Downtown!,Mount Pleasant,49.26743,-123.11178,https://www.airbnb.com/rooms/444187,0,4.83
57,Home (Office) Away from Home – Heart of Downtown,Downtown,49.28063,-123.12502,https://www.airbnb.com/rooms/448104,6,4.88
58,Lovely large room w/ private bath,Killarney,49.22834,-123.03047,https://www.airbnb.com/rooms/461370,0,4.66
59,Beautiful room (s) Vancouver Home,Killarney,49.23034,-123.02971,https://www.airbnb.com/rooms/461386,0,4.37
60,Entire 1400sf white loft with large deck + rooftop,Downtown Eastside,49.28241,-123.10381,https://www.airbnb.com/rooms/475296,25,4.84
61,Vancouver One Bedroom,Downtown,49.28052,-123.12691,https://www.airbnb.com/rooms/485225,0,4.0
62,"Downtown 1Bed+Den, stylish & modern",Downtown,49.28062,-123.11815,https://www.airbnb.com/rooms/496298,2,4.92
