neighbourhood,lat,lon
Arbutus Ridge,49.253555,-123.160443
Downtown,49.278945,-123.117791
Downtown Eastside,49.284731,-123.091182
Dunbar-Southlands,49.249923,-123.185234
Fairview,49.264745,-123.130698
Grandview-Woodland,49.275257,-123.067508
Hastings-Sunrise,49.27758,-123.040816
Kensington-Cedar Cottage,49.246544,-123.073069
Kerrisdale,49.233825,-123.15552
Killarney,49.219955,-123.036685
Kitsilano,49.265807, -123.163566
Marpole,49.209861,-123.128646
Mount Pleasant,49.263056,-123.097317
Oakridge,49.225976,-123.122244
Renfrew-Collingwood,49.248025,-123.041014
Riley Park,49.244942,-123.101913
Shaughnessy,49.244968,-123.141468
South Cambie,49.245831,-123.121409
Strathcona,49.272644,-123.088743
Sunset,49.216945,-123.090595
Victoria-Fraserview,49.219545,-123.063478
West End,49.285283,-123.133585
West Point Grey,49.267385,-123.200663
